id,text,user_name,user_location,sentiment,created,housemate
52,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,volleydancer99,Puerto Rico,NA,2017-01-20T05:12:50,No name
53,RT @CBigBrotherUK: Kim is off her fucking nut #CBB,viennnaleigh,Newcastle Upon Tyne,neg,2017-01-20T05:13:00,No name
54,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,rohandi9,,NA,2017-01-20T05:13:01,No name
55,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,lea_leayanna,,NA,2017-01-20T05:13:13,No name
56,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,PatongGamer,,NA,2017-01-20T05:13:36,No name
57,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,ToddStein2001,"Fremont,Ohio",NA,2017-01-20T05:13:56,No name
58,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,zackvanderhorn,,NA,2017-01-20T05:14:12,No name
59,"RT @CollegeBracketz: Who will make it furthest in the 2017 NCAA Tournament?RT for University Of Kansas Jayhawks!Like for University Ofâ€_ ",RckChlkPrincess,Enemy Territory AKA Misery,NA,2017-01-20T05:14:21,No name
60,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,robin_poo,,NA,2017-01-20T05:14:23,No name
62,RT @bigblagger: Life goals #CBB #CBBKim https://t.co/S3zYdU55JH,GJ69,"Birmingham, England",pso,2017-01-20T05:14:34,No name
63,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,SimbarasheN,,NA,2017-01-20T05:14:51,No name
64,"RT @bbuk: If you sneeze with your eyes open, do they fall out? _Ÿ‘€ Join @Chloe_GShore on her mission to become worldly-wiseâ€_â€_ ",xcjp_,,NA,2017-01-20T05:15:11,No name
65,@Zach_Horn__ CBB and HH are the only shows I don't skip,MikeMcCabeSad,Long Island's Latest Bad Boy,pos,2017-01-20T05:15:23,No name
66,RT @bigblagger: Life goals #CBB #CBBKim https://t.co/S3zYdU55JH,MichaelL0302,"Gilbert, AZ",pos,2017-01-20T05:16:00,No name
67,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,raging__monkey,,NA,2017-01-20T05:16:11,No name
68,ã€êäººæ°—éÅ_å_»è¨˜äº‹ã€‘ã€êWindows 10ã€‘CB/CBB/LTSBãÅ®ãÅùã‚ŒãÅ_ã‚ŒãÅ®éÅ•ãÅ„ãÅ¯ï_Ÿã‚µãƒùãƒ_ãƒˆæœŸé™êãÅ¯ï_Ÿhttps://t.co/28spf1tamT,micachi_net,,NA,2017-01-20T05:16:52,No name
69,RT @MrMarkByron: The 'Chicken Livered Shits' fight is my second favourite CBB moment ever after 'Davids Dead',suey_xo,Toronto (originally LÃ¸ndÃ¸n),NA,2017-01-20T05:16:56,No name
70,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,Georgekoo777,,NA,2017-01-20T05:17:24,No name
71,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,EduGiongo,Santo Antonio do Sudoeste PR,NA,2017-01-20T05:17:30,No name
72,RT @bigblagger: Life goals #CBB #CBBKim https://t.co/S3zYdU55JH,ImSteveAnderson,"San Antonio, TX",NA,2017-01-20T05:17:31,No name
73,RT @marianellacz: todo este fds CBB,IrisCampos25,Lima-PerÃº,NA,2017-01-20T05:17:42,No name
74,"Right, I'm sure its really #CBBBianca's ""AURA""  that #CBBJamie wants to be around. HA HA HA #CBB",NFLNinja_PhD,The Abyss ,NA,2017-01-20T05:17:51,No name
75,RT @Vic_Waghorn: LOL  Let'em 'av it!@HeavyHeavyd get in there mate and knock'em bandy @barryanddarren @StorageHunterss @JaxAustinâ€_ ,POSSUMPROD,,NA,2017-01-20T05:17:58,No name
